zone_phase,zone_index,alive_players,teammates_alive,height_status,position_type,storm_edge_dist,mats_total,surge_above,outcome_placement,outcome_alive_time,best_call
early,1,2,1,low,center,348,120,0,14,26,drop_low
mid,6,2,2,high,center,431,298,0,99,7,take_height
late,13,1,1,low,center,478,288,1,11,591,drop_low
mid,6,4,3,high,center,340,251,1,10,15,take_height
mid,10,1,0,low,corner,265,176,0,61,432,stick_deadside
mid,6,2,2,high,center,498,195,1,81,400,take_height
mid,7,3,1,high,center,136,174,0,13,207,take_height
mid,10,2,1,low,center,140,181,0,34,216,drop_low
mid,10,3,2,mid,corner,491,156,0,60,502,drop_low
late,15,1,1,high,edge,27,163,1,51,459,drop_low
early,5,4,2,mid,corner,216,120,0,5,259,play_frontside
mid,8,4,3,high,center,98,345,1,74,329,take_height
late,14,1,1,mid,edge,447,71,1,32,454,drop_low
late,13,2,1,mid,center,252,211,0,12,375,stabilize_box
mid,7,2,0,low,corner,472,52,1,52,464,drop_low
mid,10,2,2,low,center,359,269,0,13,75,drop_low
mid,10,2,2,high,center,26,186,1,85,242,take_height
early,1,4,2,mid,edge,475,32,0,54,17,play_frontside
mid,10,1,1,mid,edge,232,151,1,97,259,drop_low
mid,10,3,1,mid,center,379,339,1,54,123,stabilize_box
mid,6,2,2,mid,center,372,237,0,41,311,stabilize_box
early,4,2,0,high,corner,219,211,0,48,111,drop_low
late,15,3,2,high,corner,108,255,1,51,256,take_height
late,12,1,0,mid,center,22,235,0,47,234,stabilize_box
mid,7,3,2,high,center,328,381,1,50,497,take_height
mid,7,1,1,high,center,279,102,0,96,40,drop_low
mid,6,2,0,mid,corner,196,187,0,76,122,drop_low
late,11,1,0,high,corner,429,234,1,46,450,stick_deadside
mid,7,4,3,low,center,283,230,0,99,519,drop_low
early,2,2,1,low,corner,142,128,0,100,92,drop_low
late,12,2,1,high,edge,23,111,1,38,361,take_height
late,15,2,0,mid,corner,290,135,0,92,123,drop_low
late,11,2,1,high,center,53,315,1,13,337,take_height
mid,7,3,3,high,edge,386,22,0,76,513,take_height
mid,9,1,0,low,corner,304,113,0,22,428,stick_deadside
mid,6,2,1,high,center,405,229,1,2,433,take_height
late,13,2,0,mid,corner,113,51,0,93,7,drop_low
late,14,3,3,mid,center,454,264,0,77,120,stabilize_box
early,1,5,3,mid,center,71,167,1,99,387,play_frontside
early,2,5,5,high,center,62,113,1,13,350,take_height
mid,6,3,3,low,center,318,197,0,57,98,drop_low
late,15,3,2,mid,edge,421,190,1,34,43,drop_low
late,15,2,1,mid,corner,428,271,1,19,183,stabilize_box
early,1,3,1,mid,corner,127,149,0,9,565,play_frontside
mid,9,3,1,mid,edge,330,71,0,95,235,drop_low
mid,10,3,1,low,center,140,332,0,33,446,drop_low
late,11,3,3,low,edge,308,133,0,27,200,drop_low
late,12,2,0,mid,center,315,184,0,45,513,drop_low
late,11,2,2,high,edge,208,38,1,2,526,take_height
mid,6,2,2,low,center,402,338,0,79,213,drop_low
mid,9,2,2,low,edge,45,111,0,83,378,look_for_refresh
mid,6,4,4,high,edge,288,158,0,57,546,take_height
early,3,3,3,low,center,225,327,0,95,486,play_frontside
late,15,2,1,high,corner,83,69,1,57,361,take_height
late,13,2,2,mid,corner,315,276,0,16,168,stabilize_box
late,11,3,3,high,corner,64,235,1,79,594,take_height
late,15,3,2,low,corner,390,128,0,6,404,drop_low
mid,7,1,0,low,corner,21,265,0,14,137,stick_deadside
late,13,3,2,mid,center,92,138,0,27,233,look_for_refresh
late,13,1,0,high,center,41,305,1,38,115,drop_low
late,13,1,0,mid,center,417,282,0,19,252,stabilize_box
early,1,5,5,low,center,95,286,1,37,493,play_frontside
mid,8,2,2,high,corner,460,124,0,4,289,take_height
early,4,2,2,high,corner,241,298,0,58,49,take_height
late,15,1,1,mid,corner,420,185,0,90,452,stick_deadside
mid,10,3,2,high,center,454,242,0,9,516,take_height
early,2,5,3,high,corner,284,68,0,40,272,take_height
mid,9,4,3,mid,corner,210,287,0,15,431,stabilize_box
mid,8,3,1,low,center,60,154,0,4,26,look_for_refresh
mid,7,1,0,mid,edge,329,88,1,90,70,drop_low
early,3,3,3,low,corner,265,213,0,52,293,play_frontside
mid,9,1,0,mid,center,250,123,0,18,406,drop_low
mid,10,2,2,mid,center,214,121,0,53,234,drop_low
late,15,2,0,low,edge,395,170,0,59,231,drop_low
mid,8,2,0,low,edge,429,100,0,99,263,drop_low
late,15,1,1,low,corner,486,100,0,54,586,stick_deadside
mid,7,1,1,high,corner,393,175,0,41,121,stick_deadside
mid,8,2,2,high,edge,404,134,0,60,463,take_height
late,12,1,0,low,center,491,158,0,93,518,drop_low
mid,6,3,1,high,center,205,351,1,88,24,take_height
early,3,2,0,mid,center,461,318,0,4,377,stabilize_box
early,4,3,1,low,center,253,300,0,85,500,play_frontside
late,12,2,2,low,edge,329,120,0,39,437,drop_low
mid,8,3,1,mid,edge,10,133,0,7,499,look_for_refresh
mid,7,2,0,high,edge,98,48,0,23,174,drop_low
early,3,4,4,mid,corner,291,97,0,85,509,play_frontside
early,3,4,4,low,edge,148,72,0,63,310,play_frontside
early,3,5,3,low,corner,96,263,0,65,70,play_frontside
mid,6,1,0,mid,corner,11,247,0,41,205,stick_deadside
mid,6,3,3,low,edge,476,110,1,89,341,drop_low
mid,7,2,1,low,corner,358,191,1,95,32,drop_low
mid,7,1,0,low,corner,177,60,0,44,43,stick_deadside
late,11,2,1,high,corner,128,61,1,45,118,take_height
mid,8,2,1,high,edge,397,119,1,69,15,take_height
mid,9,3,3,mid,center,89,179,1,95,322,look_for_refresh
late,15,2,0,high,center,120,305,1,51,337,drop_low
mid,10,1,0,low,corner,174,177,0,65,532,stick_deadside
mid,8,2,2,mid,edge,391,22,0,54,591,drop_low
late,15,3,3,low,edge,454,100,0,56,381,drop_low
late,14,2,1,mid,corner,228,104,0,94,511,drop_low
early,3,3,2,high,center,14,197,1,82,120,take_height
late,13,3,3,mid,corner,408,128,0,72,26,drop_low
mid,8,4,2,mid,edge,224,106,0,90,534,drop_low
mid,6,2,1,mid,center,204,298,1,40,64,stabilize_box
mid,6,3,3,low,edge,475,162,0,58,460,drop_low
late,12,3,3,high,corner,291,176,1,15,314,take_height
mid,10,4,4,mid,edge,15,142,1,19,590,look_for_refresh
mid,9,2,1,mid,edge,388,140,1,10,216,drop_low
mid,6,4,4,mid,center,309,255,0,88,456,stabilize_box
early,1,4,2,mid,edge,67,162,0,16,540,play_frontside
early,1,4,4,low,center,346,179,0,43,579,play_frontside
early,4,5,4,mid,corner,311,171,1,31,473,play_frontside
early,5,3,1,low,center,111,250,1,16,359,play_frontside
early,2,3,1,mid,edge,435,134,0,80,126,play_frontside
early,1,2,2,high,center,57,242,1,28,87,take_height
mid,9,4,4,high,corner,379,199,1,62,343,take_height
early,4,5,3,mid,center,420,149,0,20,395,play_frontside
mid,8,2,2,mid,corner,285,97,0,35,484,drop_low
late,13,3,2,low,center,463,260,0,59,456,drop_low
mid,10,4,2,high,center,380,161,1,9,476,take_height
mid,6,3,3,low,edge,172,93,0,10,210,drop_low
early,2,4,2,mid,corner,341,289,0,45,525,play_frontside
early,1,2,2,low,center,441,389,0,82,576,drop_low
early,5,5,5,low,corner,460,187,0,15,307,play_frontside
early,1,2,1,mid,corner,205,248,0,30,76,stabilize_box
mid,9,2,2,low,edge,386,119,0,48,22,drop_low
early,3,2,2,mid,edge,445,183,0,96,60,drop_low
early,1,5,5,low,center,374,260,0,40,386,play_frontside
early,4,5,4,low,edge,333,80,0,91,56,play_frontside
mid,7,4,4,mid,edge,141,187,1,91,168,drop_low
early,4,5,5,low,edge,432,22,0,83,412,play_frontside
mid,7,2,2,low,corner,414,120,0,74,191,drop_low
mid,7,2,0,mid,edge,75,26,0,44,482,look_for_refresh
mid,10,2,1,low,center,409,359,0,46,567,drop_low
early,5,2,0,high,corner,400,203,0,6,416,drop_low
late,11,2,1,low,corner,92,276,0,24,340,look_for_refresh
mid,7,2,1,low,center,490,372,0,73,259,drop_low
early,5,2,0,mid,corner,274,136,0,91,350,drop_low
late,15,1,0,low,corner,238,57,0,7,437,stick_deadside
late,13,2,1,low,corner,282,51,0,6,222,drop_low
early,2,4,2,mid,edge,228,54,0,33,413,play_frontside
mid,6,1,1,low,edge,234,34,0,85,350,drop_low
late,12,2,1,high,corner,122,229,1,38,482,take_height
mid,6,3,1,low,edge,149,81,0,44,59,drop_low
early,2,2,1,high,edge,194,102,1,17,152,take_height
early,1,4,2,high,edge,182,175,0,31,540,take_height
mid,7,3,3,mid,corner,385,145,1,37,225,drop_low
mid,9,4,3,high,center,20,234,0,11,318,take_height
mid,6,2,2,mid,edge,406,198,0,92,563,drop_low
mid,9,3,3,high,center,168,252,0,5,279,take_height
mid,8,1,0,low,corner,214,236,0,64,558,stick_deadside
mid,6,3,2,mid,center,239,176,0,76,474,drop_low
early,5,3,2,mid,center,35,274,1,3,24,play_frontside
mid,9,4,3,mid,center,328,148,1,56,519,drop_low
mid,10,4,3,mid,corner,168,164,0,63,368,drop_low
late,14,2,1,mid,corner,287,98,1,38,335,drop_low
mid,10,2,0,low,edge,399,30,1,54,433,drop_low
mid,7,2,1,low,edge,157,20,0,2,3,drop_low
early,4,5,5,mid,corner,478,78,0,90,258,play_frontside
mid,10,1,1,mid,edge,275,132,1,2,263,drop_low
mid,8,2,1,high,corner,92,123,1,12,121,take_height
early,5,3,1,high,center,428,286,1,40,21,take_height
mid,7,4,2,high,edge,35,100,0,2,140,take_height
mid,10,1,0,mid,edge,80,49,0,80,477,look_for_refresh
early,3,3,3,low,edge,46,182,0,94,289,play_frontside
mid,6,2,1,low,corner,401,284,0,57,206,drop_low
early,2,5,4,high,edge,142,38,1,47,43,take_height
mid,8,3,2,mid,corner,437,80,1,36,118,drop_low
early,3,3,1,low,edge,493,53,0,4,5,play_frontside
late,12,2,0,mid,edge,135,51,0,75,207,drop_low
mid,9,2,2,high,center,124,347,0,24,345,take_height
mid,6,1,1,mid,corner,101,61,1,82,142,stick_deadside
late,11,1,0,mid,edge,251,153,0,91,372,drop_low
mid,9,2,2,mid,corner,460,193,1,62,232,drop_low
early,4,3,2,low,corner,496,74,0,2,164,play_frontside
mid,7,1,1,mid,edge,209,94,0,15,547,drop_low
mid,8,1,0,mid,center,216,188,0,75,364,drop_low
mid,6,2,0,low,edge,126,64,0,91,335,drop_low
mid,7,2,1,high,center,228,267,1,49,11,take_height
early,5,5,3,mid,corner,314,294,0,87,408,play_frontside
mid,7,2,0,high,edge,252,113,0,35,75,drop_low
mid,7,2,2,high,center,301,160,1,94,300,take_height
mid,10,1,1,low,corner,473,160,0,47,381,stick_deadside
mid,7,1,0,mid,edge,291,66,0,24,586,drop_low
mid,7,1,0,mid,center,310,220,0,83,28,stabilize_box
late,15,3,2,high,center,326,147,0,60,463,take_height
mid,7,1,1,low,center,181,301,0,93,396,drop_low
early,2,2,1,mid,edge,397,84,0,77,376,drop_low
early,4,3,2,mid,edge,85,170,0,48,421,play_frontside
early,3,2,1,low,edge,218,147,0,23,364,drop_low
early,1,5,3,low,corner,323,67,0,12,216,play_frontside
early,1,4,2,mid,edge,114,41,1,41,101,play_frontside
early,5,3,2,mid,center,35,288,1,29,93,play_frontside
mid,8,1,1,low,center,360,336,0,70,575,drop_low
early,4,4,3,mid,center,88,133,0,51,266,play_frontside
late,14,2,2,mid,edge,491,146,0,23,206,drop_low
early,4,2,0,mid,edge,137,128,1,31,80,drop_low
mid,10,4,3,low,corner,422,289,0,21,37,drop_low
mid,8,1,0,high,center,146,192,1,24,11,drop_low
late,13,1,1,low,edge,343,26,0,72,90,drop_low
early,3,5,5,mid,corner,45,211,1,9,19,play_frontside
mid,6,3,2,low,edge,397,110,0,22,564,drop_low
late,13,3,2,low,center,68,292,0,4,374,look_for_refresh
late,12,3,3,mid,center,239,129,1,77,94,drop_low
late,13,3,1,low,corner,430,103,0,98,32,drop_low
mid,6,4,4,high,corner,133,136,1,3,140,take_height
early,5,4,3,low,edge,97,49,0,28,570,play_frontside
mid,9,4,2,mid,corner,346,285,0,90,21,stabilize_box
late,14,2,0,low,edge,150,173,0,98,149,drop_low
mid,7,2,0,low,center,413,102,0,15,221,drop_low
mid,6,3,1,low,corner,282,103,0,8,219,drop_low
mid,9,3,2,mid,corner,60,265,1,48,541,stabilize_box
late,15,1,0,mid,center,484,191,0,99,559,drop_low
early,4,5,5,mid,edge,64,124,0,88,58,play_frontside
mid,10,2,2,mid,center,426,186,0,52,425,drop_low
mid,9,2,2,mid,center,414,139,1,55,275,drop_low
mid,10,2,1,low,corner,346,158,0,37,140,drop_low
early,5,4,2,mid,center,159,384,0,4,23,play_frontside
early,1,4,4,high,center,162,141,1,55,378,take_height
mid,10,3,3,mid,edge,460,40,0,12,373,drop_low
mid,6,3,3,mid,center,228,165,0,19,63,drop_low
mid,10,2,0,low,center,228,223,0,79,564,drop_low
early,4,5,5,high,corner,375,114,0,57,342,take_height
mid,7,2,0,high,edge,405,143,0,94,167,drop_low
mid,7,1,0,mid,corner,408,217,0,37,151,stick_deadside
early,4,3,1,high,corner,495,280,0,76,523,take_height
mid,7,1,0,low,center,477,159,0,83,584,drop_low
early,4,3,2,low,center,351,326,0,98,501,play_frontside
early,3,4,2,high,center,267,339,1,7,560,take_height
late,11,2,0,high,center,397,311,1,92,348,drop_low
mid,6,1,0,low,edge,54,122,0,55,272,look_for_refresh
late,11,2,1,low,corner,278,258,0,28,430,drop_low
mid,7,1,0,low,edge,320,129,0,93,233,drop_low
mid,8,2,1,low,center,169,269,0,37,560,drop_low
late,11,1,1,high,center,287,379,0,84,208,drop_low
mid,6,2,0,mid,center,354,309,0,61,453,stabilize_box
mid,8,2,0,low,corner,484,204,0,75,501,drop_low
mid,8,3,2,mid,edge,64,188,1,39,589,look_for_refresh
mid,7,4,4,low,center,154,172,0,23,219,drop_low
late,12,2,1,low,corner,463,287,0,52,81,drop_low
late,13,2,2,mid,center,244,205,0,84,549,stabilize_box
late,13,3,3,high,edge,188,81,1,84,541,take_height
early,5,3,1,high,center,217,162,0,11,251,take_height
mid,9,1,1,low,edge,145,122,0,66,415,drop_low
late,13,2,0,high,corner,454,201,1,13,86,drop_low
early,3,3,3,high,corner,362,174,0,77,217,take_height
early,3,5,3,high,corner,403,168,1,41,196,take_height
mid,9,4,4,mid,center,491,352,0,49,297,stabilize_box
mid,8,3,2,mid,corner,284,180,0,15,44,drop_low
late,11,1,1,low,corner,393,175,1,56,393,stick_deadside
early,4,3,2,low,edge,407,145,0,54,443,play_frontside
late,13,3,3,low,edge,332,137,0,31,90,drop_low
early,5,2,2,low,edge,192,73,1,61,155,drop_low
early,3,2,0,mid,corner,70,98,0,58,478,look_for_refresh
early,1,4,4,mid,corner,449,173,1,87,59,play_frontside
late,15,1,1,mid,corner,72,235,0,60,110,stick_deadside
mid,6,4,4,low,edge,370,181,0,53,479,drop_low
mid,8,1,0,high,edge,224,117,0,86,594,drop_low
mid,8,2,0,high,center,369,290,1,61,49,drop_low
late,11,1,0,high,corner,148,179,1,80,377,stick_deadside
mid,8,3,3,high,center,440,328,1,42,32,take_height
late,14,3,3,mid,corner,143,152,1,29,486,drop_low
mid,9,2,1,high,center,43,249,1,84,531,take_height
mid,9,1,1,low,center,202,288,0,92,3,drop_low
mid,7,1,0,mid,edge,364,86,1,27,378,drop_low
mid,7,3,1,low,corner,482,117,0,44,572,drop_low
mid,8,3,2,low,corner,329,275,0,93,242,drop_low
mid,9,1,0,low,edge,486,196,0,5,541,drop_low
early,4,4,2,mid,corner,96,299,0,52,587,play_frontside
late,14,1,0,high,corner,219,86,0,53,582,stick_deadside
mid,6,1,1,mid,corner,471,250,0,52,595,stick_deadside
mid,8,3,3,low,corner,90,73,0,38,357,look_for_refresh
late,15,1,0,high,center,331,344,1,44,197,drop_low
mid,10,1,0,mid,edge,424,199,0,53,419,drop_low
early,5,2,1,mid,corner,348,271,1,2,273,stabilize_box
late,11,2,0,mid,center,489,201,1,54,502,stabilize_box
mid,8,3,2,low,center,199,385,0,84,35,drop_low
mid,8,1,0,low,center,447,121,0,77,461,drop_low
early,1,5,4,high,edge,357,194,1,90,253,take_height
late,15,3,3,low,edge,242,48,0,35,512,drop_low
mid,7,1,1,mid,corner,401,157,0,46,48,stick_deadside
mid,9,2,0,high,edge,435,60,0,72,185,drop_low
late,11,2,1,mid,center,178,139,0,92,491,drop_low
late,14,1,1,low,edge,452,67,0,79,273,drop_low
early,2,2,1,low,center,260,190,0,55,527,drop_low
mid,10,4,2,low,edge,177,41,0,72,128,drop_low
early,4,3,3,mid,edge,240,118,1,11,210,play_frontside
mid,9,4,2,mid,corner,159,279,0,29,142,stabilize_box
early,2,5,5,low,center,161,338,0,69,173,play_frontside
mid,9,1,0,high,edge,47,152,1,63,447,drop_low
late,14,2,0,mid,edge,395,80,1,47,119,drop_low
late,11,2,2,low,corner,390,216,0,7,11,drop_low
mid,10,4,4,mid,edge,306,153,1,64,304,drop_low
late,14,2,1,mid,corner,498,155,0,82,154,drop_low
early,3,4,2,low,corner,284,273,0,64,323,play_frontside
late,11,3,1,low,center,114,246,0,92,537,drop_low
early,4,5,3,high,corner,395,63,1,12,445,take_height
mid,10,4,3,mid,edge,357,186,1,12,342,drop_low
late,12,2,2,mid,corner,361,175,0,36,221,drop_low
early,2,2,2,mid,edge,71,145,0,29,110,look_for_refresh
early,1,3,1,low,corner,476,189,0,11,410,play_frontside
mid,6,1,1,low,corner,25,111,0,53,418,stick_deadside
mid,7,4,2,mid,corner,359,76,0,70,505,drop_low
mid,10,1,0,low,corner,159,103,0,85,40,stick_deadside
mid,10,4,3,low,corner,151,139,0,74,509,drop_low
mid,7,1,0,high,corner,125,61,0,96,459,stick_deadside
mid,10,3,1,high,center,321,357,0,47,263,take_height
mid,7,3,3,high,corner,74,123,1,33,118,take_height
early,3,4,3,high,center,438,150,1,81,450,take_height
late,12,2,0,low,center,319,246,1,67,414,drop_low
mid,6,2,0,high,edge,203,91,1,43,526,drop_low
mid,7,3,2,low,edge,351,199,0,18,461,drop_low
mid,7,4,3,high,center,439,150,0,74,118,take_height
late,13,2,1,high,corner,170,94,1,53,217,take_height
early,4,5,5,mid,corner,472,270,0,39,77,play_frontside
mid,10,1,1,high,edge,315,134,1,72,421,drop_low
mid,9,3,1,mid,corner,370,258,0,34,172,stabilize_box
mid,9,3,2,low,corner,287,196,1,37,390,drop_low
early,2,5,4,mid,corner,305,194,0,41,26,play_frontside
late,12,2,2,mid,corner,48,152,0,97,128,look_for_refresh
late,15,1,0,low,corner,370,173,0,49,374,stick_deadside
mid,8,3,1,mid,edge,178,195,0,10,24,drop_low
mid,7,3,2,high,corner,468,172,1,40,470,take_height
late,14,3,3,low,center,77,214,0,18,423,look_for_refresh
mid,10,1,0,high,corner,16,206,1,25,177,stick_deadside
early,2,2,0,high,corner,94,63,1,41,538,drop_low
mid,10,1,0,high,edge,208,54,1,36,266,drop_low
mid,7,2,0,high,corner,141,62,0,2,570,drop_low
mid,10,2,1,mid,edge,85,163,1,83,270,look_for_refresh
mid,7,2,1,high,center,259,162,0,74,329,take_height
late,12,2,2,high,corner,356,268,0,49,455,take_height
late,14,2,0,low,edge,452,75,0,67,295,drop_low
mid,6,1,0,mid,corner,218,287,1,53,122,stick_deadside
early,1,3,2,mid,edge,93,167,0,19,159,play_frontside
late,12,3,2,low,corner,232,78,0,26,178,drop_low
late,15,1,0,mid,edge,262,125,1,54,328,drop_low
early,5,2,0,mid,corner,419,152,1,51,307,drop_low
late,15,3,1,low,center,40,245,1,25,89,look_for_refresh
late,11,3,2,mid,edge,364,165,1,17,38,drop_low
mid,8,2,0,high,edge,210,37,0,74,591,drop_low
mid,9,2,1,mid,edge,462,165,0,61,346,drop_low
mid,10,1,0,low,edge,61,144,1,46,252,look_for_refresh
early,4,3,1,low,edge,377,21,0,55,149,play_frontside
mid,10,4,3,mid,corner,81,182,1,50,16,look_for_refresh
late,15,3,1,high,corner,30,174,1,75,367,take_height
early,1,4,3,low,corner,25,102,0,11,118,play_frontside
mid,8,3,1,mid,center,444,157,1,12,317,drop_low
mid,10,4,2,low,center,25,356,0,40,288,look_for_refresh
mid,9,4,2,low,center,411,240,0,48,351,drop_low
late,11,1,0,high,corner,184,144,1,56,297,stick_deadside
mid,8,1,1,mid,center,321,274,1,8,194,stabilize_box
mid,6,4,3,low,corner,421,237,0,88,392,drop_low
mid,7,1,1,mid,corner,347,169,0,14,443,stick_deadside
mid,7,1,0,low,center,87,106,0,87,281,look_for_refresh
early,1,4,2,mid,edge,449,158,0,56,301,play_frontside
mid,10,1,0,mid,edge,249,171,1,54,426,drop_low
early,3,3,2,low,center,46,277,0,100,250,play_frontside
early,3,4,3,low,corner,241,75,0,17,515,play_frontside
mid,10,1,0,mid,center,409,253,0,45,406,stabilize_box
mid,10,3,1,high,corner,222,213,1,5,244,take_height
late,12,2,1,high,center,202,255,1,3,367,take_height
mid,8,1,1,low,center,69,143,0,9,120,look_for_refresh
mid,8,2,1,high,corner,198,261,1,84,440,take_height
mid,9,1,0,mid,corner,276,107,1,20,504,stick_deadside
early,2,4,4,mid,edge,135,142,0,83,582,play_frontside
mid,9,3,3,high,edge,212,112,0,21,433,take_height
early,5,4,4,high,center,331,113,1,80,183,take_height
late,14,1,1,high,corner,391,225,1,33,461,stick_deadside
early,3,4,3,mid,corner,41,259,0,5,118,play_frontside
mid,9,2,2,mid,center,412,178,0,24,31,drop_low
early,2,4,2,high,edge,321,134,0,63,149,take_height
late,15,2,1,low,corner,270,269,0,79,528,drop_low
mid,7,1,0,mid,edge,396,138,0,26,273,drop_low
mid,6,2,1,mid,corner,421,99,1,89,385,drop_low
early,2,4,3,mid,edge,355,161,0,92,102,play_frontside
mid,10,4,2,low,center,480,116,0,33,72,drop_low
early,2,4,4,low,edge,103,92,0,18,408,play_frontside
late,12,2,2,high,corner,337,166,0,18,347,take_height
early,1,2,0,low,center,109,112,0,38,367,drop_low
early,5,2,2,mid,corner,294,213,1,33,549,stabilize_box
early,2,5,4,low,corner,470,298,0,27,291,play_frontside
mid,7,4,3,low,edge,324,87,0,49,422,drop_low
mid,9,1,0,low,edge,34,129,0,50,181,look_for_refresh
early,1,5,5,low,edge,415,150,0,15,114,play_frontside
late,14,1,1,high,center,362,213,0,77,238,drop_low
mid,6,1,0,low,edge,366,40,0,52,94,drop_low
mid,9,3,2,high,corner,126,222,0,98,260,take_height
mid,7,4,2,mid,corner,208,72,0,68,107,drop_low
mid,8,2,2,mid,corner,288,184,1,99,244,drop_low
mid,10,1,0,mid,center,79,365,1,19,423,stabilize_box
early,1,2,2,mid,center,344,198,1,95,335,drop_low
early,4,4,3,high,corner,88,149,0,25,23,take_height
late,13,3,2,low,center,433,310,0,76,271,drop_low
late,15,2,2,mid,edge,363,195,0,76,140,drop_low
mid,7,4,4,high,center,23,136,1,25,466,take_height
mid,8,3,3,high,corner,38,86,1,33,454,take_height
mid,6,1,0,high,corner,153,94,1,60,384,stick_deadside
mid,6,3,3,mid,corner,486,228,0,37,594,stabilize_box
early,1,4,3,high,corner,352,149,1,92,377,take_height
early,1,2,0,mid,center,19,291,0,43,438,stabilize_box
mid,7,3,2,mid,center,56,394,0,9,422,stabilize_box
mid,10,1,0,low,center,269,281,0,14,156,drop_low
early,2,5,4,mid,center,21,229,1,3,335,play_frontside
early,3,4,3,low,edge,307,46,0,69,531,play_frontside
early,1,4,4,low,corner,235,150,0,56,581,play_frontside
mid,8,1,0,high,center,269,280,1,26,132,drop_low
early,5,3,3,low,edge,93,32,0,53,501,play_frontside
early,1,2,2,low,corner,357,202,0,41,522,drop_low
late,14,1,1,low,corner,357,59,0,82,140,stick_deadside
early,5,2,1,high,edge,15,104,0,21,135,take_height
mid,7,2,2,mid,corner,407,104,0,39,407,drop_low
early,5,4,2,mid,center,256,191,0,80,94,play_frontside
early,5,2,0,high,corner,44,268,1,23,241,drop_low
early,1,5,4,high,center,184,277,0,93,165,take_height
mid,10,4,4,low,corner,451,145,0,74,325,drop_low
late,14,2,0,mid,corner,74,172,0,58,218,look_for_refresh
late,15,3,2,high,center,156,102,0,69,231,take_height
mid,7,1,0,mid,corner,66,53,0,75,582,stick_deadside
mid,9,1,0,low,center,202,372,1,29,586,drop_low
early,4,4,3,high,corner,22,139,0,62,179,take_height
mid,10,2,1,mid,corner,401,116,0,53,80,drop_low
late,11,1,1,low,corner,27,194,0,45,354,stick_deadside
early,3,4,4,mid,corner,255,250,0,27,161,play_frontside
early,1,3,3,low,edge,172,166,0,34,427,play_frontside
early,2,4,4,low,corner,352,114,1,14,403,play_frontside
early,4,5,4,high,center,123,394,0,41,32,take_height
early,5,4,3,low,corner,291,154,0,74,121,play_frontside
mid,10,1,0,mid,corner,242,230,0,60,515,stick_deadside
mid,7,1,0,mid,edge,175,115,0,42,385,drop_low
late,14,1,1,low,corner,477,234,0,51,425,stick_deadside
late,11,3,2,high,edge,331,67,0,75,476,take_height
mid,10,3,1,low,corner,35,275,0,11,560,look_for_refresh
mid,7,2,0,low,edge,135,171,0,35,167,drop_low
mid,6,1,0,low,center,322,175,0,19,389,drop_low
mid,10,4,2,low,edge,493,107,0,88,333,drop_low
mid,9,2,2,low,center,290,225,0,65,523,drop_low
mid,6,2,1,mid,center,295,183,0,76,471,drop_low
mid,9,2,2,high,corner,475,70,1,61,524,take_height
mid,8,2,0,low,corner,400,126,0,47,53,drop_low
mid,8,1,0,mid,edge,292,130,1,14,567,drop_low
mid,8,1,0,mid,corner,148,91,1,67,21,stick_deadside
late,13,3,2,high,center,110,101,0,52,19,take_height
late,13,3,3,mid,edge,401,198,1,32,456,drop_low
early,2,4,3,low,corner,20,163,0,80,322,play_frontside
late,12,2,2,low,edge,391,54,1,10,433,drop_low
mid,7,2,2,mid,edge,225,181,1,17,59,drop_low
late,11,2,0,high,center,39,397,0,40,151,drop_low
late,14,1,1,low,edge,103,165,0,68,440,drop_low
mid,7,1,0,mid,corner,125,215,0,63,58,stick_deadside
early,3,4,4,high,corner,280,231,0,15,574,take_height
mid,7,4,4,high,center,449,277,1,97,293,take_height
mid,9,1,0,high,corner,300,254,0,39,182,stick_deadside
mid,8,3,2,high,edge,48,65,1,57,78,take_height
mid,6,4,2,mid,edge,33,37,0,10,105,look_for_refresh
early,1,3,2,mid,center,273,397,1,71,261,play_frontside
late,15,1,1,mid,corner,52,126,1,97,223,stick_deadside
late,15,3,1,low,edge,179,107,0,17,484,drop_low
mid,8,2,0,mid,center,349,206,1,76,129,stabilize_box
early,1,4,2,mid,center,178,377,1,17,319,play_frontside
mid,6,3,3,low,center,312,227,0,16,509,drop_low
early,1,5,4,high,edge,35,105,1,78,20,take_height
late,15,2,0,mid,center,189,196,0,3,235,drop_low
early,5,3,3,high,edge,481,93,1,51,597,take_height
mid,8,4,3,low,edge,159,109,0,94,554,drop_low
mid,10,3,2,low,corner,142,203,0,46,350,drop_low
mid,9,4,2,mid,center,152,143,0,55,453,drop_low
mid,10,4,4,low,edge,173,138,0,99,586,drop_low
late,12,2,1,mid,center,110,293,0,26,509,stabilize_box
early,2,4,4,high,edge,72,148,0,76,423,take_height
early,1,5,4,low,edge,102,97,0,31,190,play_frontside
early,5,3,1,mid,center,216,188,1,81,125,play_frontside
late,13,3,1,mid,edge,484,114,1,72,6,drop_low
late,12,2,1,mid,edge,442,47,0,19,458,drop_low
mid,10,2,2,high,edge,320,117,0,90,554,take_height
mid,9,3,2,high,center,81,166,0,68,570,take_height
mid,8,1,1,mid,corner,69,224,1,15,522,stick_deadside
early,4,3,2,mid,center,450,237,1,58,89,play_frontside
late,13,2,0,mid,center,38,288,0,78,111,stabilize_box
mid,10,2,2,high,center,28,158,1,30,551,take_height
mid,6,1,0,mid,edge,488,144,0,48,397,drop_low
